label,flare,timestamp,NOAA,HARP,TOTUSJH,USFLUX,SAVNCPP,TOTUSJZ,ABSNJZH,TOTPOT,AREA_ACR,Cdec,Chis1d,Chis,Edec,Mhis,Xmax1d,Mdec,MEANPOT,R_VALUE,Mhis1d,MEANGAM,TOTFX,MEANJZH,MEANALP,MEANGBZ,TOTFZ,MEANSHR,MEANGBT,TOTFY,logEdec,TOTBSQ,EPSZ,SHRGT45,MEANGBH,MEANJZD,Xhis1d,Xdec,Xhis,EPSX,EPSY,Bhis,Bdec,Bhis1d
Negative,N,2017-08-30T05:58:42.90Z,12673,7115,-0.5007692212191129,-0.49698500973114507,-0.44119657858362704,-0.588877474081401,-0.19732240554061492,-0.19355346599854,-0.599847048554254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4508342992850696,0.843314321207588,0.0,1.66099778473476,0.504173873479655,1.3620602333080398,0.7606650377839079,-1.30850587076348,-0.012214306416097,1.77336115819639,-1.25801184579671,0.239059454897194,0.0,-0.168810560677591,-0.502850635624044,2.41869541332347,-0.34897354238688,-0.11597693870735001,0.0,0.0,0.0,-0.8986901476410679,-0.41729040454252603,0.0,0.0,0.0
Negative,N,2017-08-30T08:46:42.90Z,12673,7115,-0.5050879033596409,-0.503523960520859,-0.4386717326501521,-0.584170470548202,-0.234294157962127,-0.203192600025208,-0.6038736482857769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6127217776746403,0.671168968500572,0.0,1.5220749810118601,0.593131524279835,1.2545769163648401,0.6700557568557579,-1.29699247821353,0.062377486538162996,1.68660182821285,-1.22048930679578,0.379466580409642,0.0,-0.112280212861475,-0.22535439022896,2.10931176520727,-0.21398535802823604,0.031980621817693,0.0,0.0,0.0,-0.9544095510251641,-0.558771574923589,0.0,0.0,0.0
Negative,N,2017-08-30T08:58:42.90Z,12673,7115,-0.498769923668488,-0.503428467242794,-0.3747582632567501,-0.578207403786848,-0.21982890367327304,-0.20394389680722505,-0.600897793628566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.48588611298729,0.672913684913143,0.0,1.5492519597543501,0.6775967108337461,1.29744565037096,0.7162238917102001,-1.32408472678446,0.119299335060935,1.71845876969118,-1.29986142457916,0.385291524215291,0.0,-0.05796881327739301,-0.030056364516607998,2.13107156353064,-0.305014691068077,0.5650937896265601,0.0,0.0,0.0,-0.9971277602863052,-0.5228733675134679,0.0,0.0,0.0
Negative,N,2017-08-30T09:58:42.90Z,12673,7115,-0.503880347582181,-0.5107414389058079,-0.418607314233091,-0.5880742649666,-0.236686315697784,-0.20389607147341798,-0.608398032145771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.53564318584813,0.7531706398914141,0.0,1.6972063878327501,0.6251617655471321,1.2196730233380602,0.68463400997521,-1.34177762381037,0.138970893501725,1.8837469128629398,-1.34636095655966,0.291777931053715,0.0,-0.108370637405033,-0.065902204679002,2.36975127771792,-0.27616139097465303,0.278929895275907,0.0,0.0,0.0,-0.9958895513222141,-0.44474197491497097,0.0,0.0,0.0
Negative,N,2017-08-30T10:58:42.90Z,12673,7115,-0.488118304498524,-0.5041730557493049,-0.44964020832671503,-0.571011165436754,-0.257856350118972,-0.20852249384854196,-0.613703244144424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2897171082459,0.739212908590845,0.0,1.5853784571763798,0.61792581168482,1.04779426339821,0.61909834876668,-1.37287028843679,0.09602487140339999,1.76416234530751,-1.34639324790132,0.274330446790787,0.0,-0.134575359383345,-0.197542962516758,2.2876434834778796,-0.307786870880975,0.108844979358976,0.0,0.0,0.0,-1.0256065664604002,-0.440518656396133,0.0,0.0,0.0
Negative,N,2017-08-30T11:58:42.80Z,12673,7115,-0.48133166154114,-0.500172196834014,-0.444952273810115,-0.5749070042405571,-0.264886823088554,-0.20342324750051,-0.6075002070427621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.31686662129837,0.685708271938665,0.0,1.58759531042727,0.6186802713292321,1.00108575659949,0.5914703543370351,-1.3684470641803101,0.077326249392447,1.83997992943375,-1.3371256328468701,0.30152035467231797,0.0,-0.14630408575267,-0.258728103483603,2.38787416923937,-0.335904694697507,0.042260442092273996,0.0,0.0,0.0,-1.0460370143679,-0.4859193304736379,0.0,0.0,0.0
Negative,N,2017-08-30T12:58:42.80Z,12673,7115,-0.473879915608062,-0.501714265753124,-0.419138512474487,-0.5673253548582541,-0.23082946002104696,-0.20310911515729504,-0.6109733933976271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3386590226485486,0.65662966506248,0.0,1.58307949824952,0.61339905381835,1.18600816682979,0.689419457147745,-1.3765454674146,0.083103059444612,1.80725152147121,-1.3234663953276,0.305581407043862,0.0,-0.14862869818623,-0.25131172276034897,2.3739429669133596,-0.308692072452533,0.266347902936101,0.0,0.0,0.0,-1.04170328299358,-0.493310137881604,0.0,0.0,0.0
Negative,N,2017-08-30T13:58:42.70Z,12673,7115,-0.486252625836569,-0.506414665102531,-0.4504229330224749,-0.5749729588518749,-0.263999590876738,-0.20563829442547896,-0.606422676418818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38226875374211,0.6641901028502879,0.0,1.63029026192604,0.628042429643977,1.03089705792898,0.5998274304806379,-1.3887418578276798,0.10038281582871601,1.8337828344349199,-1.3430349483693895,0.298197675459237,0.0,-0.150055164906824,-0.21670194605183105,2.38386740750844,-0.27876384549288397,-0.081065577775656,0.0,0.0,0.0,-1.06708656675745,-0.48380767121421897,0.0,0.0,0.0
Negative,N,2017-08-30T14:58:42.70Z,12673,7115,-0.506658423879459,-0.505605095111398,-0.5015192873941771,-0.5840343012222671,-0.26808198212984197,-0.20080592483505105,-0.600343778107619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44817693256815,0.675821545600762,0.0,1.6899810883483402,0.619400437353443,1.01052255642395,0.5771623168534511,-1.39866158869699,0.14326296202293806,1.9267392594172799,-1.35120465780763,0.306620598896513,0.0,-0.138484934839787,-0.10545623520302196,2.43614023747508,-0.284873956100903,-0.182114553509228,0.0,0.0,0.0,-1.0342740292090402,-0.4859193304736379,0.0,0.0,0.0
Negative,N,2017-08-30T15:58:42.70Z,12673,7115,-0.5120889348324279,-0.509642006876961,-0.49704167935560495,-0.5905350648771379,-0.298747647374963,-0.201976589803416,-0.6073120172100861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66682885515183,0.7502627792037959,0.0,1.6465471857659502,0.6295170553125999,0.8953445332707409,0.486295254991262,-1.35199006804959,0.171594668164736,1.8353321081846297,-1.26166076740352,0.34007984183647105,0.0,-0.120205027975884,-0.018313761704788996,2.31507439071273,-0.19050669226594105,-0.13839118364681602,0.0,0.0,0.0,-1.02065373060404,-0.515482560105502,0.0,0.0,0.0
